Package Name,Title,CRAN,Abstract,Version,Depends,Imports,Suggests
abind,abind: Combine Multidimensional Arrays,OK,"Combine multidimensional arrays into a single array.
  This is a generalization of 'cbind' and 'rbind'.  Works with
  vectors, matrices, and higher-dimensional arrays.  Also
  provides functions 'adrop', 'asub', and 'afill' for manipulating,
  extracting and replacing data in arrays.",1.4-5,R (≥ 1.5.0),"methods, utils",NA
acepack,acepack: ACE and AVAS for Selecting Multiple Regression Transformations,OK,"Two nonparametric methods for multiple regression transform selection are provided.
  The first, Alternative Conditional Expectations (ACE), 
  is an algorithm to find the fixed point of maximal
  correlation, i.e. it finds a set of transformed response variables that maximizes R^2
  using smoothing functions [see Breiman, L., and J.H. Friedman. 1985. ""Estimating Optimal Transformations
  for Multiple Regression and Correlation"". Journal of the American Statistical Association.
  80:580-598. <doi:10.1080/01621459.1985.10478157>].
  Also included is the Additivity Variance Stabilization (AVAS) method which works better than ACE when
  correlation is low [see Tibshirani, R.. 1986. ""Estimating Transformations for Regression via Additivity
  and Variance Stabilization"". Journal of the American Statistical Association. 83:394-405. 
  <doi:10.1080/01621459.1988.10478610>]. A good introduction to these two methods is in chapter 16 of
  Frank Harrel's ""Regression Modeling Strategies"" in the Springer Series in Statistics.",1.4.1,NA,NA,testthat
ade4,"ade4: Analysis of Ecological Data: Exploratory and Euclidean Methods
in Environmental Sciences",OK,"Tools for multivariate data analysis. Several methods are provided for the analysis (i.e., ordination) of one-table (e.g., principal component analysis, correspondence analysis), two-table (e.g., coinertia analysis, redundancy analysis), three-table (e.g., RLQ analysis) and K-table (e.g., STATIS, multiple coinertia analysis). The philosophy of the package is described in Dray and Dufour (2007) <doi:10.18637/jss.v022.i04>.",1.7-11,R (≥ 2.10),"graphics, grDevices, methods, stats, utils, MASS","ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir, lattice, pixmap, sp, spdep, splancs, waveslim"
AER,AER: Applied Econometrics with R,OK,"Functions, data sets, examples, demos, and vignettes for the book
             Christian Kleiber and Achim Zeileis (2008),
	     Applied Econometrics with R, Springer-Verlag, New York.
	     ISBN 978-0-387-77316-2. (See the vignette ""AER"" for a package overview.)",1.2-5,"R (≥ 2.13.0), car (≥ 2.0-19), lmtest, sandwich, survival (≥
2.37-5), zoo","stats, Formula (≥ 0.2-0)","boot, dynlm, effects, fGarch, forecast, foreign, ineq, KernSmooth, lattice, longmemo, MASS, mlogit, nlme, nnet, np, plm, pscl, quantreg, rgl, ROCR, rugarch, sampleSelection, scatterplot3d, strucchange, systemfit, truncreg, tseries, urca, vars"
AlgDesign,AlgDesign: Algorithmic Experimental Design,OK,"Algorithmic experimental designs. Calculates exact and
        approximate theory experimental designs for D,A, and I
        criteria. Very large designs may be created. Experimental
        designs may be blocked or blocked designs created from a
        candidate list, using several criteria.  The blocking can be
        done when whole and within plot factors interact.",1.1-7.3,NA,NA,NA
Amelia,Amelia: A Program for Missing Data,OK,"A tool that ""multiply imputes"" missing data in a single cross-section
  (such as a survey), from a time series (like variables collected for
  each year in a country), or from a time-series-cross-sectional data
  set (such as collected by years for each of several countries).
  Amelia II implements our bootstrapping-based algorithm that gives
  essentially the same answers as the standard IP or EMis approaches,
  is usually considerably faster than existing approaches and can
  handle many more variables.  Unlike Amelia I and other statistically
  rigorous imputation software, it virtually never crashes (but please
  let us know if you find to the contrary!).  The program also
  generalizes existing approaches by allowing for trends in time series
  across observations within a cross-sectional unit, as well as priors
  that allow experts to incorporate beliefs they have about the values
  of missing cells in their data.  Amelia II also includes useful
  diagnostics of the fit of multiple imputation models.  The program
  works from the R command line or via a graphical user interface that
  does not require users to know R.",1.7.5,"R (≥ 3.0.2), Rcpp (≥ 0.11)","foreign, utils, grDevices, graphics, methods, stats","tcltk, Zelig"
aplpack,"aplpack: Another Plot Package: 'Bagplots', 'Iconplots', 'Summaryplots',
Slider Functions and Others",OK,"Some functions for drawing some special plots:
   The function 'bagplot' plots a bagplot,
   'faces' plots chernoff faces,
   'iconplot' plots a representation of a frequency table or a data matrix,
   'plothulls' plots hulls of a bivariate data set,
   'plotsummary' plots a graphical summary of a data set,
   'puticon' adds icons to a plot,
   'skyline.hist' combines several histograms of a one dimensional data set in one plot,
   'slider' functions supports some interactive graphics,
   'spin3R' helps an inspection of a 3-dim point cloud,
   'stem.leaf' plots a stem and leaf plot,
   'stem.leaf.backback' plots back-to-back versions of stem and leaf plot.",1.3.2,"R (≥ 3.0.0), tcltk",NA,"tkrplot, jpeg, png, splines, utils"
arm,"arm: Data Analysis Using Regression and Multilevel/Hierarchical
Models",OK,"Functions to accompany A. Gelman and J. Hill, Data Analysis Using Regression and Multilevel/Hierarchical Models, Cambridge University Press, 2007.",1.10-1,"R (≥ 3.1.0), MASS, Matrix (≥ 1.0), stats, lme4 (≥ 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",NA
arules,arules: Mining Association Rules and Frequent Itemsets,OK,"Provides the infrastructure for representing,
    manipulating and analyzing transaction data and patterns (frequent
    itemsets and association rules). Also provides
    C implementations of the association mining algorithms Apriori and Eclat.",1.6-1,"R (≥ 3.4.0), Matrix (≥ 1.2-0)","stats, methods, graphics, utils","pmml, XML, arulesViz, testthat"
assertthat,assertthat: Easy Pre and Post Assertions,OK,"assertthat is an extension to stopifnot() that makes it
    easy to declare the pre and post conditions that you code should
    satisfy, while also producing friendly error messages so that your
    users know what they've done wrong.",0.2.0,NA,tools,testthat
